condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
A_none,42,8.0,500,4.211902,3.828716,46.0035,0.0000,5.3487,0.000000
A_none,42,8.0,1000,4.110176,3.790814,44.2924,0.0000,5.7210,0.000000
A_none,42,8.0,1500,4.063873,3.768590,43.3190,0.0000,5.9914,0.000000
A_none,42,8.0,2000,4.049713,3.748679,42.4650,0.0000,6.1945,0.000000
A_none,42,8.0,2500,4.044660,3.737430,41.9900,0.0000,6.3975,0.000000
A_none,42,8.0,3000,4.057636,3.728781,41.6283,0.0000,6.5427,0.000000
A_none,42,8.0,3500,4.020451,3.718676,41.2098,0.0000,6.6789,0.000000
A_none,42,8.0,4000,4.011567,3.718314,41.1949,0.0000,6.8151,0.000000
A_none,42,8.0,4500,4.024203,3.711683,40.9226,0.0000,6.9513,0.000000
A_none,42,8.0,5000,4.010216,3.707185,40.7390,0.0000,7.0807,0.000000
A_none,42,8.0,5500,4.015715,3.710753,40.8846,0.0000,7.1775,0.000000
A_none,42,8.0,6000,4.008822,3.710883,40.8899,0.0000,7.2743,0.000000
A_none,42,8.0,6500,3.991026,3.709268,40.8239,0.0000,7.3710,0.000000
A_none,42,8.0,7000,4.004207,3.708290,40.7840,0.0000,7.4678,0.000000
A_none,42,8.0,7500,3.998172,3.707386,40.7472,0.0000,7.5646,0.000000
A_none,42,8.0,8000,3.996331,3.709411,40.8298,0.0000,7.6614,0.000000
A_none,42,8.0,8500,3.993285,3.721338,41.3196,0.0000,7.7582,0.000000
A_none,42,8.0,9000,3.993131,3.735000,41.8880,0.0000,7.8549,0.000000
A_none,42,8.0,9500,3.991625,3.737132,41.9774,0.0000,7.9275,0.000000
A_none,42,8.0,10000,3.975255,3.742024,42.1833,0.0000,7.9998,0.000000
