condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
B_gate_naive,42,3.0,500,4.578415,4.165858,64.4480,0.0000,2.4553,0.000000
B_gate_naive,42,3.0,1000,4.467988,4.140425,62.8295,0.0000,2.5418,0.000000
B_gate_naive,42,3.0,1500,4.433902,4.044427,57.0785,0.0000,2.5975,0.000000
B_gate_naive,42,3.0,2000,4.372441,3.982403,53.6458,0.0000,2.6453,0.000000
B_gate_naive,42,3.0,2500,4.325856,3.950163,51.9438,0.0000,2.6824,0.000000
B_gate_naive,42,3.0,3000,4.300906,3.930568,50.9359,0.0000,2.7130,0.000000
B_gate_naive,42,3.0,3500,4.263289,3.916228,50.2107,0.0000,2.7437,0.000000
B_gate_naive,42,3.0,4000,4.250179,3.905583,49.6790,0.0000,2.7744,0.000000
B_gate_naive,42,3.0,4500,4.250871,3.894588,49.1358,0.0000,2.7975,0.000000
B_gate_naive,42,3.0,5000,4.240206,3.884536,48.6444,0.0000,2.8185,0.000000
B_gate_naive,42,3.0,5500,4.216593,3.875298,48.1970,0.0000,2.8395,0.000000
B_gate_naive,42,3.0,6000,4.201967,3.868058,47.8494,0.0000,2.8606,0.000000
B_gate_naive,42,3.0,6500,4.187460,3.863785,47.6454,0.0000,2.8816,0.000000
B_gate_naive,42,3.0,7000,4.190216,3.860485,47.4884,0.0000,2.9026,0.000000
B_gate_naive,42,3.0,7500,4.176404,3.859245,47.4295,0.0000,2.9231,0.000000
B_gate_naive,42,3.0,8000,4.182125,3.853285,47.1477,0.0000,2.9385,0.000000
B_gate_naive,42,3.0,8500,4.189333,3.853298,47.1483,0.0000,2.9538,0.000000
B_gate_naive,42,3.0,9000,4.181671,3.854540,47.2069,0.0000,2.9692,0.000000
B_gate_naive,42,3.0,9500,4.190169,3.856473,47.2982,0.0000,2.9846,0.000000
B_gate_naive,42,3.0,10000,4.169159,3.852575,47.1142,0.0000,2.9999,0.000000
