condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
C_gate_dp_init,42,3.0,500,6.522431,6.092443,442.5010,0.4756,2.4553,0.000000
C_gate_dp_init,42,3.0,1000,6.292733,5.992342,400.3513,0.4207,2.5418,0.000000
C_gate_dp_init,42,3.0,1500,6.217019,5.922319,373.2765,0.4201,2.5975,0.000000
C_gate_dp_init,42,3.0,2000,6.165183,5.851040,347.5957,0.4140,2.6453,0.000000
C_gate_dp_init,42,3.0,2500,6.104921,5.793113,328.0325,0.3580,2.6824,0.000000
C_gate_dp_init,42,3.0,3000,6.068060,5.748513,313.7237,0.3671,2.7130,0.000000
C_gate_dp_init,42,3.0,3500,6.039976,5.724043,306.1401,0.3710,2.7437,0.000000
C_gate_dp_init,42,3.0,4000,6.027874,5.668778,289.6804,0.3802,2.7744,0.000000
C_gate_dp_init,42,3.0,4500,5.987501,5.613380,274.0690,0.3602,2.7975,0.000000
C_gate_dp_init,42,3.0,5000,5.937642,5.567156,261.6889,0.3490,2.8185,0.000000
C_gate_dp_init,42,3.0,5500,5.880176,5.525810,251.0897,0.3285,2.8395,0.000000
C_gate_dp_init,42,3.0,6000,5.848316,5.491399,242.5964,0.3339,2.8606,0.000000
C_gate_dp_init,42,3.0,6500,5.811090,5.462900,235.7801,0.3076,2.8816,0.000000
C_gate_dp_init,42,3.0,7000,5.781626,5.437435,229.8518,0.3085,2.9026,0.000000
C_gate_dp_init,42,3.0,7500,5.755975,5.415132,224.7822,0.2946,2.9231,0.000000
C_gate_dp_init,42,3.0,8000,5.744920,5.390570,219.3283,0.3113,2.9385,0.000000
C_gate_dp_init,42,3.0,8500,5.738109,5.371989,215.2905,0.2822,2.9538,0.000000
C_gate_dp_init,42,3.0,9000,5.723338,5.352536,211.1431,0.3296,2.9692,0.000000
C_gate_dp_init,42,3.0,9500,5.698179,5.339409,208.3895,0.2945,2.9846,0.000000
C_gate_dp_init,42,3.0,10000,5.678480,5.317136,203.7994,0.3149,2.9999,0.000000
