condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k0_25,123,3.0,500,4.511485,4.162065,64.2040,0.0000,2.4546,2.2208,0.5552
k0_25,123,3.0,1000,4.396176,4.104438,60.6087,0.0000,2.5411,2.2208,0.5552
k0_25,123,3.0,1500,4.386315,4.101466,60.4288,0.0000,2.5970,2.2208,0.5552
k0_25,123,3.0,2000,4.381519,4.093508,59.9498,0.0000,2.6446,2.2208,0.5552
k0_25,123,3.0,2500,4.389292,4.058316,57.8768,0.0000,2.6820,2.2208,0.5552
k0_25,123,3.0,3000,4.369275,4.022992,55.8680,0.0000,2.7126,2.2208,0.5552
k0_25,123,3.0,3500,4.350442,4.010951,55.1994,0.0000,2.7432,2.2208,0.5552
k0_25,123,3.0,4000,4.336753,4.010512,55.1751,0.0000,2.7738,2.2208,0.5552
k0_25,123,3.0,4500,4.337402,4.007258,54.9959,0.0000,2.7973,2.2208,0.5552
k0_25,123,3.0,5000,4.335611,4.003706,54.8009,0.0000,2.8183,2.2208,0.5552
k0_25,123,3.0,5500,4.327459,3.998004,54.4893,0.0000,2.8393,2.2208,0.5552
k0_25,123,3.0,6000,4.325579,4.002910,54.7573,0.0000,2.8603,2.2208,0.5552
k0_25,123,3.0,6500,4.329810,4.002717,54.7467,0.0000,2.8813,2.2208,0.5552
k0_25,123,3.0,7000,4.319822,4.004088,54.8218,0.0000,2.9023,2.2208,0.5552
k0_25,123,3.0,7500,4.334757,4.001971,54.7059,0.0000,2.9231,2.2208,0.5552
k0_25,123,3.0,8000,4.327989,4.001013,54.6535,0.0000,2.9385,2.2208,0.5552
k0_25,123,3.0,8500,4.338811,4.004051,54.8198,0.0000,2.9539,2.2208,0.5552
k0_25,123,3.0,9000,4.342767,4.006200,54.9377,0.0000,2.9693,2.2208,0.5552
k0_25,123,3.0,9500,4.347414,4.012447,55.2820,0.0000,2.9846,2.2208,0.5552
k0_25,123,3.0,10000,4.344949,4.012541,55.2872,0.0000,3.0000,2.2208,0.5552
