condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
baseline_r1.0_k1.0,123,8.0,500,4.383470,3.998224,54.5013,0.0000,5.1048,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,1000,4.239807,3.915037,50.1509,0.0000,5.4916,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,1500,4.192751,3.884017,48.6191,0.0000,5.7664,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,2000,4.154769,3.861409,47.5323,0.0000,5.9965,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,2500,4.165454,3.857506,47.3471,0.0000,6.1957,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,3000,4.153448,3.857731,47.3578,0.0000,6.3584,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,3500,4.146212,3.862588,47.5883,0.0000,6.5211,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,4000,4.139127,3.869267,47.9073,0.0000,6.6838,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,4500,4.138158,3.873275,48.0997,0.0000,6.8161,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,5000,4.141626,3.884104,48.6234,0.0000,6.9373,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,5500,4.135249,3.881086,48.4768,0.0000,7.0585,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,6000,4.128793,3.882891,48.5644,0.0000,7.1797,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,6500,4.119973,3.885853,48.7085,0.0000,7.3009,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,7000,4.105990,3.882777,48.5589,0.0000,7.4221,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,7500,4.105939,3.861325,47.5283,0.0000,7.5282,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,8000,4.091184,3.851808,47.0781,0.0000,7.6226,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,8500,4.091279,3.840583,46.5526,0.0000,7.7169,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,9000,4.083088,3.835837,46.3322,0.0000,7.8113,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,9500,4.076705,3.828680,46.0018,0.0000,7.9056,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,123,8.0,10000,4.067454,3.821550,45.6749,0.0000,8.0000,0.4362,0.4362,1.0000,1.0000
