condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
both_r0.25_k0.25,123,3.0,500,4.499405,4.142761,62.9765,0.0000,2.4546,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,1000,4.366575,4.072365,58.6956,0.0000,2.5411,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,1500,4.333103,4.052594,57.5465,0.0000,2.5970,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,2000,4.296413,4.013161,55.3214,0.0000,2.6446,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,2500,4.306179,3.988039,53.9490,0.0000,2.6820,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,3000,4.291867,3.974828,53.2409,0.0000,2.7126,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,3500,4.277675,3.967623,52.8587,0.0000,2.7432,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,4000,4.268093,3.969334,52.9493,0.0000,2.7738,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,4500,4.269572,3.967371,52.8454,0.0000,2.7973,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,5000,4.268944,3.962647,52.5964,0.0000,2.8183,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,5500,4.259944,3.956682,52.2836,0.0000,2.8393,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,6000,4.256337,3.959676,52.4403,0.0000,2.8603,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,6500,4.258870,3.958635,52.3857,0.0000,2.8813,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,7000,4.248368,3.957417,52.3220,0.0000,2.9023,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,7500,4.260872,3.954549,52.1722,0.0000,2.9231,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,8000,4.252507,3.953127,52.0980,0.0000,2.9385,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,8500,4.260922,3.955854,52.2403,0.0000,2.9539,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,9000,4.265432,3.955666,52.2304,0.0000,2.9693,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,9500,4.267850,3.958929,52.4012,0.0000,2.9846,2.2208,0.5552,1.0000,0.2500
both_r0.25_k0.25,123,3.0,10000,4.263122,3.955701,52.2323,0.0000,3.0000,2.2208,0.5552,1.0000,0.2500
