condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
clip_r0.25_k1.0,123,8.0,500,4.381587,3.993703,54.2554,0.0000,5.1048,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,1000,4.234459,3.905821,49.6908,0.0000,5.4916,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,1500,4.185992,3.868887,47.8891,0.0000,5.7664,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,2000,4.143318,3.843266,46.6777,0.0000,5.9965,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,2500,4.148870,3.829958,46.0606,0.0000,6.1957,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,3000,4.131774,3.823005,45.7415,0.0000,6.3584,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,3500,4.120415,3.822384,45.7131,0.0000,6.5211,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,4000,4.112198,3.825526,45.8569,0.0000,6.6838,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,4500,4.110633,3.829369,46.0335,0.0000,6.8161,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,5000,4.113878,3.836701,46.3722,0.0000,6.9373,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,5500,4.108418,3.837107,46.3911,0.0000,7.0585,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,6000,4.104896,3.844006,46.7122,0.0000,7.1797,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,6500,4.101908,3.854828,47.2205,0.0000,7.3009,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,7000,4.092960,3.862056,47.5631,0.0000,7.4221,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,7500,4.098548,3.850407,47.0122,0.0000,7.5282,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,8000,4.089785,3.850731,47.0274,0.0000,7.6226,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,8500,4.094997,3.846114,46.8108,0.0000,7.7169,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,9000,4.089699,3.847740,46.8870,0.0000,7.8113,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,9500,4.084478,3.841272,46.5847,0.0000,7.9056,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,123,8.0,10000,4.075625,3.833469,46.2226,0.0000,8.0000,0.4362,0.4362,1.0000,0.2500
