condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
extreme_r0.1_k0.5,123,3.0,500,4.450518,4.082695,59.3051,0.0000,2.4513,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,1000,4.315827,4.023558,55.8996,0.0000,2.5378,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,1500,4.280314,3.969218,52.9431,0.0000,2.5946,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,2000,4.239656,3.937470,51.2887,0.0000,2.6414,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,2500,4.243518,3.918552,50.3275,0.0000,2.6802,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,3000,4.224593,3.903821,49.5916,0.0000,2.7104,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,3500,4.207762,3.893061,49.0608,0.0000,2.7407,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,4000,4.193676,3.885368,48.6849,0.0000,2.7709,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,4500,4.188352,3.879241,48.3875,0.0000,2.7962,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,5000,4.185514,3.871505,48.0146,0.0000,2.8170,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,5500,4.174880,3.865216,47.7136,0.0000,2.8379,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,6000,4.168355,3.863923,47.6519,0.0000,2.8588,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,6500,4.168363,3.861230,47.5237,0.0000,2.8796,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,7000,4.156142,3.861965,47.5587,0.0000,2.9005,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,7500,4.166520,3.858988,47.4174,0.0000,2.9214,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,8000,4.157822,3.855500,47.2522,0.0000,2.9385,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,8500,4.164810,3.856806,47.3140,0.0000,2.9539,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,9000,4.165437,3.855164,47.2364,0.0000,2.9693,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,9500,4.166366,3.857600,47.3516,0.0000,2.9846,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,123,3.0,10000,4.161443,3.855902,47.2712,0.0000,3.0000,1.1109,0.5554,1.0000,0.1000
