condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
bias+0.0,7,8.0,500,4.574492,4.133660,62.4059,0.0000,5.3487,0.000000
bias+0.0,7,8.0,1000,4.441936,4.086852,59.5521,0.0000,5.7210,0.000000
bias+0.0,7,8.0,1500,4.389208,3.979642,53.4979,0.0000,5.9914,0.000000
bias+0.0,7,8.0,2000,4.321150,3.933960,51.1089,0.0000,6.1945,0.000000
bias+0.0,7,8.0,2500,4.272230,3.906073,49.7034,0.0000,6.3975,0.000000
bias+0.0,7,8.0,3000,4.240561,3.882754,48.5578,0.0000,6.5427,0.000000
bias+0.0,7,8.0,3500,4.226506,3.867571,47.8261,0.0000,6.6789,0.000000
bias+0.0,7,8.0,4000,4.203454,3.856398,47.2947,0.0000,6.8151,0.000000
bias+0.0,7,8.0,4500,4.192636,3.842442,46.6392,0.0000,6.9513,0.000000
bias+0.0,7,8.0,5000,4.175776,3.835588,46.3206,0.0000,7.0807,0.000000
bias+0.0,7,8.0,5500,4.178299,3.834615,46.2756,0.0000,7.1775,0.000000
bias+0.0,7,8.0,6000,4.151657,3.834333,46.2626,0.0000,7.2743,0.000000
bias+0.0,7,8.0,6500,4.154759,3.829150,46.0234,0.0000,7.3710,0.000000
bias+0.0,7,8.0,7000,4.152761,3.829615,46.0448,0.0000,7.4678,0.000000
bias+0.0,7,8.0,7500,4.136019,3.823338,45.7567,0.0000,7.5646,0.000000
bias+0.0,7,8.0,8000,4.131643,3.820391,45.6220,0.0000,7.6614,0.000000
bias+0.0,7,8.0,8500,4.114719,3.822031,45.6969,0.0000,7.7582,0.000000
bias+0.0,7,8.0,9000,4.105326,3.821014,45.6505,0.0000,7.8549,0.000000
bias+0.0,7,8.0,9500,4.117495,3.814445,45.3516,0.0000,7.9275,0.000000
bias+0.0,7,8.0,10000,4.119632,3.813977,45.3304,0.0000,7.9998,0.000000
