condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
bias-1.1,7,3.0,500,5.594369,4.992272,147.2707,0.0000,2.4553,0.000000
bias-1.1,7,3.0,1000,5.391791,4.888549,132.7608,0.0000,2.5418,0.000000
bias-1.1,7,3.0,1500,5.345139,4.802903,121.8636,0.0000,2.5975,0.000000
bias-1.1,7,3.0,2000,5.260426,4.746494,115.1797,0.0000,2.6453,0.000000
bias-1.1,7,3.0,2500,5.216424,4.685133,108.3247,0.0000,2.6824,0.000000
bias-1.1,7,3.0,3000,5.149673,4.590344,98.5283,0.0000,2.7130,0.000000
bias-1.1,7,3.0,3500,5.073042,4.526230,92.4095,0.0000,2.7437,0.000000
bias-1.1,7,3.0,4000,5.017223,4.477482,88.0127,0.0000,2.7744,0.000000
bias-1.1,7,3.0,4500,4.970269,4.435363,84.3828,0.0000,2.7975,0.000000
bias-1.1,7,3.0,5000,4.933985,4.406052,81.9453,0.0000,2.8185,0.000000
bias-1.1,7,3.0,5500,4.911355,4.384425,80.1921,0.0000,2.8395,0.000000
bias-1.1,7,3.0,6000,4.862291,4.373283,79.3036,0.0000,2.8606,0.000000
bias-1.1,7,3.0,6500,4.841189,4.351381,77.5855,0.0000,2.8816,0.000000
bias-1.1,7,3.0,7000,4.822654,4.338751,76.6118,0.0000,2.9026,0.000000
bias-1.1,7,3.0,7500,4.791470,4.323552,75.4561,0.0000,2.9231,0.000000
bias-1.1,7,3.0,8000,4.785013,4.310405,74.4707,0.0000,2.9385,0.000000
bias-1.1,7,3.0,8500,4.742523,4.306461,74.1775,0.0000,2.9538,0.000000
bias-1.1,7,3.0,9000,4.728645,4.293907,73.2521,0.0000,2.9692,0.000000
bias-1.1,7,3.0,9500,4.724514,4.276189,71.9657,0.0000,2.9846,0.000000
bias-1.1,7,3.0,10000,4.715378,4.270449,71.5537,0.0000,2.9999,0.000000
