bias_label,init_bias,sigmoid_val,sigmoid_deriv,eps_target,seed,eval_ppl,eval_loss,gate_sparsity,eps_consumed
bias-2.2,-2.197,0.10002021377599717,0.09001617061220099,3.0,7,202.458,5.310532,0.2836,2.9999
bias-1.1,-1.1,0.24973989440488234,0.18736987954752057,3.0,7,71.5537,4.270449,0.0,2.9999
bias-0.5,-0.5,0.3775406687981454,0.2350037122015945,3.0,7,53.8406,3.986027,0.0,2.9999
bias+0.0,0.0,0.5,0.25,3.0,7,46.8224,3.846362,0.0,2.9999
bias+0.5,0.5,0.6224593312018546,0.2350037122015945,3.0,7,43.5761,3.774508,0.0,2.9999
bias-2.2,-2.197,0.10002021377599717,0.09001617061220099,8.0,7,176.3339,5.172379,0.2644,7.9998
bias-1.1,-1.1,0.24973989440488234,0.18736987954752057,8.0,7,65.9197,4.188438,0.0,7.9998
bias-0.5,-0.5,0.3775406687981454,0.2350037122015945,8.0,7,51.6738,3.944951,0.0,7.9998
bias+0.0,0.0,0.5,0.25,8.0,7,45.3304,3.813977,0.0,7.9998
bias+0.5,0.5,0.6224593312018546,0.2350037122015945,8.0,7,42.0605,3.73911,0.0,7.9998
