condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
gpt2_12h_none,7,8.0,500,4.217599,3.840729,46.5594,0.0000,5.3487,0.000000
gpt2_12h_none,7,8.0,1000,4.101155,3.798220,44.6217,0.0000,5.7210,0.000000
gpt2_12h_none,7,8.0,1500,4.080506,3.770237,43.3904,0.0000,5.9914,0.000000
gpt2_12h_none,7,8.0,2000,4.052789,3.753720,42.6795,0.0000,6.1945,0.000000
gpt2_12h_none,7,8.0,2500,4.047398,3.743128,42.2299,0.0000,6.3975,0.000000
gpt2_12h_none,7,8.0,3000,4.040360,3.733732,41.8349,0.0000,6.5427,0.000000
gpt2_12h_none,7,8.0,3500,4.039856,3.720014,41.2650,0.0000,6.6789,0.000000
gpt2_12h_none,7,8.0,4000,4.026753,3.711497,40.9150,0.0000,6.8151,0.000000
gpt2_12h_none,7,8.0,4500,4.018923,3.707267,40.7423,0.0000,6.9513,0.000000
gpt2_12h_none,7,8.0,5000,4.025393,3.704425,40.6267,0.0000,7.0807,0.000000
gpt2_12h_none,7,8.0,5500,3.989526,3.702897,40.5646,0.0000,7.1775,0.000000
gpt2_12h_none,7,8.0,6000,4.014151,3.703965,40.6080,0.0000,7.2743,0.000000
gpt2_12h_none,7,8.0,6500,4.012544,3.702284,40.5398,0.0000,7.3710,0.000000
gpt2_12h_none,7,8.0,7000,4.017785,3.703370,40.5839,0.0000,7.4678,0.000000
gpt2_12h_none,7,8.0,7500,4.006483,3.698958,40.4052,0.0000,7.5646,0.000000
gpt2_12h_none,7,8.0,8000,4.005632,3.704931,40.6472,0.0000,7.6614,0.000000
gpt2_12h_none,7,8.0,8500,4.003302,3.702744,40.5584,0.0000,7.7582,0.000000
gpt2_12h_none,7,8.0,9000,3.984606,3.707858,40.7664,0.0000,7.8549,0.000000
gpt2_12h_none,7,8.0,9500,3.989515,3.713347,40.9908,0.0000,7.9275,0.000000
gpt2_12h_none,7,8.0,10000,3.998731,3.719364,41.2382,0.0000,7.9998,0.000000
