condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
gpt2l_20h_gated,7,8.0,500,4.285734,3.796126,44.5284,0.0000,5.5961,0.000000
gpt2l_20h_gated,7,8.0,1000,3.780155,3.633111,37.8303,0.0000,5.8420,0.000000
gpt2l_20h_gated,7,8.0,1500,3.548114,3.598998,36.5616,0.0000,6.0580,0.000000
gpt2l_20h_gated,7,8.0,2000,3.497220,3.565566,35.3595,0.0000,6.1641,0.000000
gpt2l_20h_gated,7,8.0,2500,3.456941,3.528896,34.0863,0.0000,6.2731,0.000000
gpt2l_20h_gated,7,8.0,3000,3.560650,3.495165,32.9557,0.0000,6.3783,0.000000
gpt2l_20h_gated,7,8.0,3500,3.448936,3.470373,32.1487,0.0000,6.4888,0.000000
gpt2l_20h_gated,7,8.0,4000,3.348343,3.444284,31.3208,0.0000,6.5692,0.000000
gpt2l_20h_gated,7,8.0,4500,3.192639,3.426595,30.7717,0.0000,6.6267,0.000000
gpt2l_20h_gated,7,8.0,5000,3.239523,3.405205,30.1205,0.0000,6.6828,0.000000
gpt2l_20h_gated,7,8.0,5500,3.212424,3.389823,29.6607,0.0000,6.7383,0.000000
gpt2l_20h_gated,7,8.0,6000,3.192616,3.370328,29.0881,0.0000,6.7967,0.000000
gpt2l_20h_gated,7,8.0,6500,3.144980,3.351641,28.5495,0.0000,6.8545,0.000000
gpt2l_20h_gated,7,8.0,7000,3.184559,3.339710,28.2109,0.0000,6.9126,0.000000
gpt2l_20h_gated,7,8.0,7500,3.104971,3.327500,27.8686,0.0000,6.9689,0.000000
gpt2l_20h_gated,7,8.0,8000,3.163526,3.311748,27.4330,0.0000,7.0254,0.000000
gpt2l_20h_gated,7,8.0,8500,3.176278,3.299260,27.0926,0.0000,7.0825,0.000000
gpt2l_20h_gated,7,8.0,9000,3.081360,3.288920,26.8139,0.0000,7.1388,0.000000
gpt2l_20h_gated,7,8.0,9500,3.188323,3.274990,26.4430,0.0000,7.1719,0.000000
gpt2l_20h_gated,7,8.0,10000,3.052399,3.264112,26.1569,0.0000,7.2032,0.000000
