condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
gpt2l_20h_none,7,8.0,500,4.091634,3.475779,32.3230,0.0000,5.5868,0.000000
gpt2l_20h_none,7,8.0,1000,3.694238,3.334944,28.0768,0.0000,5.8287,0.000000
gpt2l_20h_none,7,8.0,1500,3.251593,3.275735,26.4627,0.0000,6.0521,0.000000
gpt2l_20h_none,7,8.0,2000,3.079831,3.255291,25.9272,0.0000,6.1606,0.000000
gpt2l_20h_none,7,8.0,2500,3.201837,3.229123,25.2575,0.0000,6.2712,0.000000
gpt2l_20h_none,7,8.0,3000,3.140330,3.202948,24.6050,0.0000,6.3733,0.000000
gpt2l_20h_none,7,8.0,3500,3.011532,3.183775,24.1377,0.0000,6.4775,0.000000
gpt2l_20h_none,7,8.0,4000,3.261690,3.164247,23.6709,0.0000,6.5630,0.000000
gpt2l_20h_none,7,8.0,4500,3.175353,3.148789,23.3078,0.0000,6.6165,0.000000
gpt2l_20h_none,7,8.0,5000,3.018134,3.135943,23.0103,0.0000,6.6735,0.000000
gpt2l_20h_none,7,8.0,5500,3.226231,3.119763,22.6410,0.0000,6.7306,0.000000
gpt2l_20h_none,7,8.0,6000,2.957269,3.109861,22.4179,0.0000,6.7877,0.000000
gpt2l_20h_none,7,8.0,6500,2.907447,3.096275,22.1154,0.0000,6.8424,0.000000
gpt2l_20h_none,7,8.0,7000,2.922913,3.085488,21.8781,0.0000,6.9015,0.000000
gpt2l_20h_none,7,8.0,7500,2.955938,3.076194,21.6757,0.0000,6.9573,0.000000
gpt2l_20h_none,7,8.0,8000,2.968396,3.065254,21.4399,0.0000,7.0139,0.000000
gpt2l_20h_none,7,8.0,8500,2.879339,3.055052,21.2223,0.0000,7.0684,0.000000
gpt2l_20h_none,7,8.0,9000,2.931609,3.046099,21.0331,0.0000,7.1234,0.000000
gpt2l_20h_none,7,8.0,9500,2.960966,3.038131,20.8662,0.0000,7.1619,0.000000
gpt2l_20h_none,7,8.0,10000,2.837291,3.028662,20.6696,0.0000,7.1937,0.000000
