condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
gpt2m_16h_gated,7,8.0,500,4.166545,3.752256,42.6171,0.0000,5.3384,0.000000
gpt2m_16h_gated,7,8.0,1000,3.961641,3.652013,38.5522,0.0000,5.5931,0.000000
gpt2m_16h_gated,7,8.0,1500,3.862021,3.612119,37.0445,0.0000,5.7883,0.000000
gpt2m_16h_gated,7,8.0,2000,3.758918,3.623944,37.4851,0.0000,5.9210,0.000000
gpt2m_16h_gated,7,8.0,2500,3.734133,3.619501,37.3189,0.0000,6.0583,0.000000
gpt2m_16h_gated,7,8.0,3000,3.780900,3.608647,36.9161,0.0000,6.1878,0.000000
gpt2m_16h_gated,7,8.0,3500,3.753864,3.603685,36.7334,0.0000,6.2657,0.000000
gpt2m_16h_gated,7,8.0,4000,3.650165,3.598209,36.5328,0.0000,6.3433,0.000000
gpt2m_16h_gated,7,8.0,4500,3.580810,3.595880,36.4478,0.0000,6.4183,0.000000
gpt2m_16h_gated,7,8.0,5000,3.700328,3.586293,36.1000,0.0000,6.4958,0.000000
gpt2m_16h_gated,7,8.0,5500,3.738039,3.578363,35.8149,0.0000,6.5741,0.000000
gpt2m_16h_gated,7,8.0,6000,3.620619,3.578690,35.8266,0.0000,6.6469,0.000000
gpt2m_16h_gated,7,8.0,6500,3.679695,3.570664,35.5402,0.0000,6.7206,0.000000
gpt2m_16h_gated,7,8.0,7000,3.651813,3.567405,35.4245,0.0000,6.7674,0.000000
gpt2m_16h_gated,7,8.0,7500,3.649544,3.571887,35.5837,0.0000,6.8139,0.000000
gpt2m_16h_gated,7,8.0,8000,3.627768,3.569858,35.5116,0.0000,6.8613,0.000000
gpt2m_16h_gated,7,8.0,8500,3.620465,3.573027,35.6243,0.0000,6.9076,0.000000
