condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
gpt2m_16h_none,7,8.0,500,4.059373,3.638952,38.0519,0.0000,5.3359,0.000000
gpt2m_16h_none,7,8.0,1000,3.821898,3.557936,35.0907,0.0000,5.5895,0.000000
gpt2m_16h_none,7,8.0,1500,3.703491,3.560085,35.1662,0.0000,5.7902,0.000000
gpt2m_16h_none,7,8.0,2000,3.709310,3.556448,35.0385,0.0000,5.9243,0.000000
gpt2m_16h_none,7,8.0,2500,3.650623,3.557736,35.0837,0.0000,6.0673,0.000000
gpt2m_16h_none,7,8.0,3000,3.677510,3.556171,35.0288,0.0000,6.1900,0.000000
gpt2m_16h_none,7,8.0,3500,3.650518,3.551174,34.8542,0.0000,6.2676,0.000000
gpt2m_16h_none,7,8.0,4000,3.576887,3.547697,34.7332,0.0000,6.3418,0.000000
gpt2m_16h_none,7,8.0,4500,3.640278,3.545889,34.6705,0.0000,6.4172,0.000000
gpt2m_16h_none,7,8.0,5000,3.633798,3.542687,34.5597,0.0000,6.4951,0.000000
gpt2m_16h_none,7,8.0,5500,3.648252,3.545744,34.6655,0.0000,6.5716,0.000000
gpt2m_16h_none,7,8.0,6000,3.563556,3.547340,34.7208,0.0000,6.6462,0.000000
